Specialty,City,Status
Dental Clinic,San Diego,pending
Dental Clinic,Tampa,pending
Dental Clinic,Minneapolis,pending
Dental Clinic,Brooklyn,pending
Dental Clinic,Denver,pending
Dental Clinic,Queens,pending
Dental Clinic,Riverside,pending
Dental Clinic,Las Vegas,pending
Dental Clinic,Baltimore,pending
Dental Clinic,St. Louis,pending
Dental Clinic,Portland,pending
Dental Clinic,San Antonio,pending
Dental Clinic,Sacramento,pending
Dental Clinic,Orlando,pending
Dental Clinic,Austin,pending
Dental Clinic,San Jose,pending
Dental Clinic,San Juan,pending
Dental Clinic,Indianapolis,pending
Dental Clinic,Pittsburgh,pending
Dental Clinic,Cincinnati,pending
Dental Clinic,Kansas City,pending
Dental Clinic,Cleveland,pending
Dental Clinic,Manhattan,pending
Dental Clinic,Columbus,pending
Dental Clinic,Charlotte,pending
Dental Clinic,Bronx,pending
Dental Clinic,Virginia Beach,pending
Dental Clinic,Jacksonville,pending
Dental Clinic,Providence,pending
